,feature name,rank
275,CTDD_hydrophobicity_CASG920101.2.residue25,300
3264,PAAC_Xc2.lambda3,301
3493,Gravy,302
1888,APAAC_Pc2.Hydrophilicity.1,303
1869,APAAC_Pc1.N,303
3464,Cougar__9,306
3395,Instability_index,306
3430,ABHPRK__39,306
3494,Levitt_alpha,308
1455,GAAC_uncharge,309
3550,Z5__16,310
372,CTDD_charge.3.residue75,311
3491,Ez__18,312
237,CTDD_hydrophobicity_ARGP820101.3.residue75,313
3262,PAAC_Xc2.lambda1,315
370,CTDD_charge.3.residue25,315
300,CTDD_hydrophobicity_FASG890101.1.residue25,315
3260,PAAC_Xc1.Y,317
325,CTDD_normwaalsvolume.3.residue25,318
3512,MSW__17,319
344,CTDD_polarizability.1.residue0,320
249,CTDD_hydrophobicity_ZIMJ680101.3.residue0,320
3347,QSO3_SC_R,322
1049,DDE_TV,323
1899,NMBroto_CHAM820101.lag1,324
3489,Ez__16,324
202,CTDC_charge.G3,327
20,CKSAAGP_alphaticr.alphaticr.gap0,327
3359,QSO3_SC_F,327
3467,Cougar__12,329
433,CTDT_polarizability.Tr2332,330
236,CTDD_hydrophobicity_ARGP820101.3.residue50,330
307,CTDD_hydrophobicity_FASG890101.2.residue75,332
432,CTDT_polarizability.Tr1331,333
3536,Z5__2,333
3588,Janin,335
390,CTDD_solventaccess.1.residue25,335
119,CKSAAGP_uncharger.uncharger.gap3,337
230,CTDD_hydrophobicity_ARGP820101.2.residue25,338
717,DDE_AG,339
3514,Polarity,340
217,CTDD_hydrophobicity_PRAM900101.2.residue75,341
878,DDE_KH,342
1069,DDE_VV,343
852,DDE_IA,344
3537,Z5__3,345
44,CKSAAGP_uncharger.uncharger.gap0,346
864,DDE_IP,348
99,CKSAAGP_alphaticr.uncharger.gap3,348
227,CTDD_hydrophobicity_ARGP820101.1.residue75,348
209,CTDD_hydrophobicity_PRAM900101.1.residue0,348
70,CKSAAGP_alphaticr.alphaticr.gap2,351
3440,ABHPRK__50,351
3586,Eisenberg,353
392,CTDD_solventaccess.1.residue75,354
174,CTDC_hydrophobicity_ARGP820101.G2,355
3542,Z5__8,356
881,DDE_KL,357
271,CTDD_hydrophobicity_CASG920101.1.residue50,358
3428,ABHPRK__36,358
253,CTDD_hydrophobicity_ZIMJ680101.3.residue100,360
3543,Z5__9,361
171,CTDC_hydrophobicity_PRAM900101.G2,362
979,DDE_QI,363
238,CTDD_hydrophobicity_ARGP820101.3.residue100,364
3513,MSW__18,365
1906,NMBroto_CHOC760101.lag2,366
3204,CKSAAP_TR.gap3,367
2575,CKSAAP_YG.gap1,368
1092,DDE_YA,369
127,CKSAAGP_aromatic.postivecharger.gap4,370
93,CKSAAGP_uncharger.negativecharger.gap2,371
303,CTDD_hydrophobicity_FASG890101.1.residue100,372
2590,CKSAAP_AE.gap2,373
2638,CKSAAP_DT.gap2,374
845,DDE_HQ,375
2477,CKSAAP_QA.gap1,376
259,CTDD_hydrophobicity_PONP930101.2.residue0,377
413,CTDT_hydrophobicity_PONP930101.Tr1221,378
504,CTriad_g2.g3.g6,379
110,CKSAAGP_negativecharger.alphaticr.gap3,380
92,CKSAAGP_uncharger.postivecharger.gap2,381
55,CKSAAGP_postivecharger.alphaticr.gap1,382
915,DDE_ME,383
3355,QSO3_SC_I,384
3270,DDR_Q,385
3238,CKSAAP_YS.gap3,386
1101,DDE_YL,386
2288,CKSAAP_CT.gap1,388
3263,PAAC_Xc2.lambda2,389
27,CKSAAGP_aromatic.postivecharger.gap0,389
266,CTDD_hydrophobicity_PONP930101.3.residue50,391
7,AAC_G,392
3252,PAAC_Xc1.L,393
3247,PAAC_Xc1.Q,394
1493,GTPC_alphaticr.postivecharger.postivecharger,395
165,CKSAAGP_uncharger.alphaticr.gap5,396
224,CTDD_hydrophobicity_ARGP820101.1.residue0,397
3426,ABHPRK__34,398
3429,ABHPRK__38,399
1907,NMBroto_CHOC760101.lag3,400
302,CTDD_hydrophobicity_FASG890101.1.residue75,401
